date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:06	55620/55620	---M--	200	added ('OK')	application/octet-stream	etag:%22cdf63bcf4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.ttf?w118d	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIcons54e9.ttf	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:23:07	10659/10659	---M--	200	added ('OK')	image/svg+xml	etag:%229d83dca84672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-sofa.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-sofa.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:07	9677/9677	---M--	200	added ('OK')	image/svg+xml	etag:%227861da54672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-armchair.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-armchair.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:08	906/906	---M--	200	added ('OK')	image/svg+xml	etag:%2249f2a74672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-chair.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-chair.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:08	790/790	---M--	200	added ('OK')	image/svg+xml	etag:%2234e8faa64672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-dining.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-dining.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:09	1414/1414	---M--	200	added ('OK')	image/svg+xml	etag:%22e7b5eba74672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-mediacabinet.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-mediacabinet.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:10	996/996	---M--	200	added ('OK')	image/svg+xml	etag:%22a21b56a94672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-table.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-table.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:10	202808/202808	---M--	200	added ('OK')	image/png	etag:%22d9137a24772d51:0%22	http://www.elathemes.com/themes/divano/css/img/sprite-skin-nice.png	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/css/img/sprite-skin-nice.png	(from http://www.elathemes.com/themes/divano/css/ion-range-slider.css)
15:23:10	3675/3675	---M--	200	added ('OK')	image/svg+xml	etag:%22b12efea54672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-bookcase.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-bookcase.svg	(from http://www.elathemes.com/themes/divano/category.html)
15:23:11	1875/1875	---M--	200	added ('OK')	image/svg+xml	etag:%22bb7f7a54672d51:0%22	http://www.elathemes.com/themes/divano/assets/icons/icon-bedroom.svg	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/icons/icon-bedroom.svg	(from http://www.elathemes.com/themes/divano/category.html)
